work_year,experience_level,employment_type,job_title,salary_in_usd,employee_residence,work_type,company_location,company_size
2022,SE,FT,Data Scientist,180000,United States,Remote,United States,M
2022,MI,FT,Data Scientist,71982,Great Britain,On-site,Great Britain,M
2022,MI,FT,Data Scientist,45807,Great Britain,On-site,Great Britain,M
2022,MI,FT,Data Engineer,65949,Greece,Remote,Greece,M
2022,MI,FT,Data Engineer,49461,Greece,Remote,Greece,M
2022,MI,FT,Data Engineer,78526,Great Britain,Remote,Great Britain,M
2022,MI,FT,Data Engineer,58894,Great Britain,Remote,Great Britain,M
2022,SE,FT,Data Scientist,260000,United States,Remote,United States,M
2022,SE,FT,Data Science Engineer,60000,Argentina,Remote,Mexico,L
2022,MI,FT,Data Engineer,63900,United States,On-site,United States,M
2022,MI,FT,Machine Learning Scientist,160000,United States,Remote,United States,L
2022,MI,FT,Machine Learning Scientist,112300,United States,Remote,United States,L
2022,MI,FT,Data Science Manager,241000,United States,Remote,United States,M
2022,MI,FT,Data Science Manager,159000,United States,Remote,United States,M
2022,SE,FT,Data Scientist,180000,United States,On-site,United States,M
2022,SE,FT,Data Scientist,80000,United States,On-site,United States,M
2022,MI,FT,Data Engineer,82900,United States,On-site,United States,M
2022,SE,FT,Data Engineer,100800,United States,Remote,United States,L
2022,MI,FT,Data Engineer,49461,Spain,Remote,Spain,M
2022,SE,FT,Data Scientist,140400,United States,On-site,United States,L
2022,MI,FT,Data Analyst,39263,Great Britain,Remote,Great Britain,M
2022,MI,FT,Data Analyst,43966,Spain,Remote,Spain,M
2022,MI,FT,Data Analyst,32974,Spain,Remote,Spain,M
2022,MI,FT,Data Engineer,87932,Spain,Remote,Spain,M
2022,MI,FT,Data Engineer,76940,Spain,Remote,Spain,M
2022,MI,FT,Data Engineer,104702,Great Britain,Remote,Great Britain,M
2022,MI,FT,Data Engineer,91614,Great Britain,Remote,Great Britain,M
2022,MI,FT,Data Engineer,65949,Spain,Remote,Spain,M
2022,MI,FT,Data Engineer,87932,Greece,Remote,Greece,M
2022,SE,FT,Machine Learning Engineer,189650,United States,On-site,United States,M
2022,SE,FT,Machine Learning Engineer,164996,United States,On-site,United States,M
2022,MI,FT,Data Analyst,43966,Greece,Remote,Greece,M
2022,MI,FT,Data Analyst,32974,Greece,Remote,Greece,M
2022,MI,FT,Data Engineer,98158,Great Britain,Remote,Great Britain,M
2022,MI,FT,Data Engineer,78526,Great Britain,Remote,Great Britain,M
2022,SE,FT,Data Scientist,215300,United States,On-site,United States,L
2022,MI,FT,Data Engineer,76940,Greece,Remote,Greece,M
2022,SE,FT,Data Engineer,209100,United States,Remote,United States,L
2022,SE,FT,Data Engineer,154600,United States,Remote,United States,L
2022,SE,FT,Data Engineer,180000,United States,Remote,United States,M
2022,EN,FT,ML Engineer,21983,Portugal,Remote,Portugal,L
2022,SE,FT,Data Engineer,80000,United States,Remote,United States,M
2022,MI,FT,Machine Learning Developer,78791,Canada,Remote,Canada,M
2022,EX,FT,Director of Data Science,196979,Canada,Partially Remote,Canada,L
2022,MI,FT,Machine Learning Engineer,120000,United States,Remote,United States,S
2022,EN,FT,Computer Vision Engineer,125000,United States,On-site,United States,M
2022,MI,FT,NLP Engineer,37236,United States,Partially Remote,United States,L
2022,SE,FT,Data Engineer,105000,United States,Remote,United States,M
2022,SE,FT,Lead Machine Learning Engineer,87932,Germany,On-site,Germany,M
2022,MI,FT,Business Data Analyst,18442,India,Remote,India,M
2022,MI,FT,Data Scientist,31615,India,Remote,India,L
2022,MI,FT,Machine Learning Infrastructure Engineer,58255,Portugal,Partially Remote,Portugal,L
2022,EN,FT,Financial Data Analyst,100000,United States,Partially Remote,United States,L
2022,MI,PT,Data Engineer,54957,Germany,Partially Remote,Germany,L
2022,EN,FT,Data Scientist,18442,India,Remote,India,M
2022,SE,FT,Principal Data Scientist,162674,Germany,Remote,Germany,M
2022,EN,FT,Data Engineer,120000,United States,Remote,United States,M
2022,SE,FT,Research Scientist,144000,United States,Partially Remote,United States,L
2022,SE,FT,Data Scientist,104890,United States,Remote,United States,M
2022,SE,FT,Data Engineer,100000,United States,Remote,United States,M
2022,SE,FT,Data Scientist,140000,United States,Remote,United States,M
2022,MI,FT,Data Analyst,135000,United States,Remote,United States,M
2022,MI,FT,Data Analyst,50000,United States,Remote,United States,M
2022,SE,FT,Data Scientist,220000,United States,Remote,United States,M
2022,SE,FT,Data Scientist,140000,United States,Remote,United States,M
2022,MI,FT,Data Scientist,183228,Great Britain,On-site,Great Britain,M
2022,MI,FT,Data Scientist,91614,Great Britain,On-site,Great Britain,M
2022,SE,FT,Data Scientist,185100,United States,Remote,United States,M
2022,SE,FT,Machine Learning Engineer,220000,United States,Remote,United States,M
2022,MI,FT,Data Scientist,200000,United States,Remote,United States,M
2022,MI,FT,Data Scientist,120000,United States,Remote,United States,M
2022,SE,FT,Machine Learning Engineer,120000,United Arab Emirates,Remote,United Arab Emirates,S
2022,SE,FT,Machine Learning Engineer,65000,United Arab Emirates,Remote,United Arab Emirates,S
2022,EX,FT,Data Engineer,324000,United States,Remote,United States,M
2022,EX,FT,Data Engineer,216000,United States,Remote,United States,M
2022,SE,FT,Data Engineer,210000,United States,Remote,United States,M
2022,SE,FT,Machine Learning Engineer,120000,United States,Remote,United States,M
2022,SE,FT,Data Scientist,230000,United States,Remote,United States,M
2022,EN,PT,Data Scientist,100000,Algeria,Partially Remote,Algeria,M
2022,MI,FL,Data Scientist,100000,Canada,Remote,United States,M
2022,EN,CT,Applied Machine Learning Scientist,31875,Tunisia,Remote,Czechia,M
2022,SE,FT,Head of Data,200000,Malaysia,Remote,United States,M
2022,MI,FT,Principal Data Analyst,75000,Canada,Remote,Canada,S
2022,MI,FT,Data Scientist,35590,Poland,Remote,Poland,L
2022,SE,FT,Machine Learning Developer,78791,Canada,Remote,Canada,M
2022,SE,FT,Data Scientist,100000,Brazil,Remote,United States,M
2022,MI,FT,Machine Learning Scientist,153000,United States,Partially Remote,United States,M
2022,EN,FT,Data Engineer,58035,Pakistan,Remote,Germany,M
2022,SE,FT,Data Scientist,165000,United States,Remote,United States,M
2022,SE,FT,Research Scientist,93427,France,Partially Remote,France,L
2022,EN,FT,Data Scientist,52396,Canada,Remote,Canada,L
2022,SE,FT,Machine Learning Engineer,62651,Netherlands,Remote,Netherlands,L
2022,MI,FT,Head of Data,32974,Estonia,Remote,Estonia,S
2022,EN,FT,Data Scientist,40000,Japan,Remote,Malaysia,L
2022,MI,FT,Machine Learning Engineer,87425,Australia,Remote,Australia,L
2022,SE,FT,Data Engineer,115000,United States,Remote,United States,M
2022,EN,FT,Data Scientist,86703,Australia,Partially Remote,Australia,M
2022,MI,FT,Applied Machine Learning Scientist,75000,Bolivia,Remote,United States,L
2022,MI,FT,Research Scientist,64849,Austria,On-site,Austria,L
2022,EN,FT,Research Scientist,120000,United States,Remote,United States,L
2022,MI,FT,Applied Data Scientist,157000,United States,Remote,United States,L
2022,EN,FT,Computer Vision Software Engineer,150000,Australia,Remote,Australia,S
2022,MI,FT,Business Data Analyst,70912,Canada,Partially Remote,Canada,L
2022,EN,FT,Data Engineer,65000,United States,Remote,United States,S
2022,SE,FT,Machine Learning Engineer,71444,Ireland,Remote,Ireland,S
2022,EN,FT,Data Analytics Engineer,20000,Pakistan,On-site,Pakistan,M
2022,MI,FT,Data Scientist,48000,Russian Federation,Remote,United States,S
2022,SE,FT,Data Science Manager,152500,United States,Remote,United States,M
2022,MI,FT,Data Engineer,68147,France,Remote,France,M
2022,MI,FT,Data Scientist,122346,Switzerland,On-site,Switzerland,L
2022,SE,FT,Applied Data Scientist,380000,United States,Remote,United States,L
2022,MI,FT,Data Scientist,69336,Canada,Remote,Canada,M
2022,EN,FT,Computer Vision Engineer,10000,Portugal,Remote,Luxembourg,M
2022,MI,FT,Data Analyst,20000,Greece,Remote,Greece,S
2022,SE,FT,Data Analytics Lead,405000,United States,Remote,United States,L
2022,MI,FT,Data Scientist,135000,United States,Remote,United States,L
2022,SE,FT,Applied Data Scientist,177000,United States,Remote,United States,L
2022,MI,FT,Data Scientist,78000,United States,Remote,United States,M
2022,SE,FT,Data Analyst,135000,United States,Remote,United States,M
2022,SE,FT,Data Analyst,100000,United States,Remote,United States,M
2022,SE,FT,Data Analyst,90320,United States,Remote,United States,M
2022,MI,FT,Data Analyst,85000,Canada,On-site,Canada,M
2022,MI,FT,Data Analyst,75000,Canada,On-site,Canada,M
2022,SE,FT,Machine Learning Engineer,214000,United States,Remote,United States,M
2022,SE,FT,Machine Learning Engineer,192600,United States,Remote,United States,M
2022,SE,FT,Data Architect,266400,United States,Remote,United States,M
2022,SE,FT,Data Architect,213120,United States,Remote,United States,M
2022,SE,FT,Data Analyst,112900,United States,Remote,United States,M
2022,SE,FT,Data Engineer,155000,United States,Remote,United States,M
2022,MI,FT,Data Scientist,141300,United States,On-site,United States,M
2022,MI,FT,Data Scientist,102100,United States,On-site,United States,M
2022,SE,FT,Data Analyst,115934,United States,Remote,United States,M
2022,SE,FT,Data Analyst,81666,United States,Remote,United States,M
2022,MI,FT,Data Engineer,206699,United States,On-site,United States,M
2022,MI,FT,Data Engineer,99100,United States,On-site,United States,M
2022,SE,FT,Data Engineer,130000,United States,Remote,United States,M
2022,SE,FT,Data Engineer,115000,United States,Remote,United States,M
2022,SE,FT,Data Engineer,110500,United States,Remote,United States,M
2022,SE,FT,Data Engineer,130000,United States,Remote,United States,M
2022,SE,FT,Data Analyst,99050,United States,Remote,United States,M
2022,SE,FT,Data Engineer,160000,United States,Remote,United States,M
2022,SE,FT,Data Scientist,205300,United States,On-site,United States,L
2022,SE,FT,Data Scientist,140400,United States,On-site,United States,L
2022,SE,FT,Data Scientist,176000,United States,Remote,United States,M
2022,SE,FT,Data Scientist,144000,United States,Remote,United States,M
2022,SE,FT,Data Engineer,200100,United States,Remote,United States,M
2022,SE,FT,Data Engineer,160000,United States,Remote,United States,M
2022,SE,FT,Data Engineer,145000,United States,Remote,United States,M
2022,SE,FT,Data Engineer,70500,United States,On-site,United States,M
2022,SE,FT,Data Scientist,205300,United States,On-site,United States,M
2022,SE,FT,Data Scientist,140400,United States,On-site,United States,M
2022,SE,FT,Analytics Engineer,205300,United States,On-site,United States,M
2022,SE,FT,Analytics Engineer,184700,United States,On-site,United States,M
2022,SE,FT,Data Engineer,175100,United States,Remote,United States,M
2022,SE,FT,Data Engineer,140250,United States,Remote,United States,M
2022,SE,FT,Data Analyst,116150,United States,Remote,United States,M
2022,SE,FT,Data Engineer,54000,United States,On-site,United States,M
2022,SE,FT,Data Analyst,170000,United States,Remote,United States,M
2022,MI,FT,Data Analyst,65438,Great Britain,On-site,Great Britain,M
2022,SE,FT,Data Analyst,80000,United States,Remote,United States,M
2022,SE,FT,Data Scientist,140000,United States,Remote,United States,M
2022,SE,FT,Data Scientist,210000,United States,Remote,United States,M
2022,SE,FT,Data Scientist,140000,United States,Remote,United States,M
2022,SE,FT,Data Analyst,100000,United States,Remote,United States,M
2022,SE,FT,Data Analyst,69000,United States,Remote,United States,M
2022,SE,FT,Data Scientist,210000,United States,Remote,United States,M
2022,SE,FT,Data Scientist,140000,United States,Remote,United States,M
2022,SE,FT,Data Scientist,210000,United States,Remote,United States,M
2022,SE,FT,Data Analyst,150075,United States,Remote,United States,M
2022,SE,FT,Data Engineer,100000,United States,Remote,United States,M
2022,SE,FT,Data Engineer,25000,United States,Remote,United States,M
2022,SE,FT,Data Analyst,126500,United States,Remote,United States,M
2022,SE,FT,Data Analyst,106260,United States,Remote,United States,M
2022,SE,FT,Data Engineer,220110,United States,Remote,United States,M
2022,SE,FT,Data Engineer,160080,United States,Remote,United States,M
2022,SE,FT,Data Analyst,105000,United States,Remote,United States,M
2022,SE,FT,Data Analyst,110925,United States,Remote,United States,M
2022,MI,FT,Data Analyst,45807,Great Britain,On-site,Great Britain,M
2022,SE,FT,Data Scientist,140000,United States,Remote,United States,M
2022,SE,FT,Data Analyst,99000,United States,On-site,United States,M
2022,SE,FT,Data Analyst,60000,United States,Remote,United States,M
2022,SE,FT,Data Architect,192564,United States,Remote,United States,M
2022,SE,FT,Data Architect,144854,United States,Remote,United States,M
2022,SE,FT,Data Scientist,230000,United States,Remote,United States,M
2022,SE,FT,Data Scientist,150000,United States,Remote,United States,M
2022,SE,FT,Data Analytics Manager,150260,United States,Remote,United States,M
2022,SE,FT,Data Analytics Manager,109280,United States,Remote,United States,M
2022,SE,FT,Data Scientist,210000,United States,Remote,United States,M
2022,SE,FT,Data Analyst,170000,United States,Remote,United States,M
2022,MI,FT,Data Scientist,160000,United States,Remote,United States,M
2022,MI,FT,Data Scientist,130000,United States,Remote,United States,M
2022,EN,FT,Data Analyst,67000,Canada,On-site,Canada,M
2022,EN,FT,Data Analyst,52000,Canada,On-site,Canada,M
2022,SE,FT,Data Engineer,154000,United States,Remote,United States,M
2022,SE,FT,Data Engineer,126000,United States,Remote,United States,M
2022,SE,FT,Data Analyst,129000,United States,On-site,United States,M
2022,SE,FT,Data Analyst,150000,United States,Remote,United States,M
2022,MI,FT,AI Scientist,200000,India,Remote,United States,L
